1	I01R1	4.1364
2	I01R2	2.8182
3	I01R3	2
4	I01R4	4.1818
5	I01R5	3.1818
6	I01R6	1.5909
7	I01R7	3.5909
8	I01R8	3.7273
9	I01R9	1.9091
10	I01R90	3.7727
11	I01R91	2.8182
12	I01R92	2.5455
13	I01R93	4.3182
14	I01R94	3.3636
15	I01R95	1.5455
16	I02R1	3.8636
17	I02R2	2.9545
18	I02R3	2.1364
19	I02R4	4.0455
20	I02R5	3.3636
21	I02R6	1.8182
22	I02R7	3.7273
23	I02R8	3.7273
24	I02R9	2.1818
25	I02R90	4.4091
26	I02R91	2.8636
27	I02R92	2.6364
28	I02R93	4
29	I02R94	2.4545
30	I02R95	1.3636
31	I03R1	3.9091
32	I03R2	3.0455
33	I03R3	1.5455
34	I03R4	4
35	I03R5	2.5
36	I03R6	1.0455
37	I03R7	3.7273
38	I03R8	3.0909
39	I03R9	1.1364
40	I03R90	4.2727
41	I03R91	2.2273
42	I03R92	1.9545
43	I03R93	4.1364
44	I03R94	3.2727
45	I03R95	2
46	I04R1	4.1818
47	I04R2	3
48	I04R3	1.6818
49	I04R4	4.2727
50	I04R5	2.6818
51	I04R6	1.3182
52	I04R7	3.4545
53	I04R8	3.2727
54	I04R9	1.1364
55	I04R90	4.2727
56	I04R91	2.4545
57	I04R92	2.1818
58	I04R93	3.8636
59	I04R94	2.4545
60	I04R95	1.7727
61	I05R1	3.9091
62	I05R2	3.6818
63	I05R3	2.7273
64	I05R4	4.2727
65	I05R5	4.1364
66	I05R6	2.0909
67	I05R7	3.5455
68	I05R8	3.6364
69	I05R9	2.9091
70	I05R90	4.5
71	I05R91	4
72	I05R92	3.6364
73	I05R93	3.6364
74	I05R94	1.9545
75	I05R95	1.4091
76	I06R1	3.8636
77	I06R2	3.2727
78	I06R3	1.9091
79	I06R4	4.1818
80	I06R5	3.4545
81	I06R6	1.4091
82	I06R7	2.7273
83	I06R8	2.9545
84	I06R9	1.6818
85	I06R90	4.1364
86	I06R91	3.7273
87	I06R92	3.5
88	I06R93	3.3636
89	I06R94	2.2273
90	I06R95	1.2727
91	I07R1	3.7273
92	I07R2	3.1818
93	I07R3	2.2727
94	I07R4	4.4091
95	I07R5	4
96	I07R6	3.1364
97	I07R7	3.5455
98	I07R8	3.6818
99	I07R9	2.8182
100	I07R90	3.9545
101	I07R91	3
102	I07R92	2.7727
103	I07R93	4.3182
104	I07R94	3.3636
105	I07R95	1.7273
106	I08R1	4.1364
107	I08R2	3.3636
108	I08R3	2.1364
109	I08R4	4.1364
110	I08R5	3.5
111	I08R6	2.0455
112	I08R7	3.6818
113	I08R8	3.8636
114	I08R9	2
115	I08R90	4.0455
116	I08R91	3.6818
117	I08R92	3.3636
118	I08R93	4.0455
119	I08R94	2.9091
120	I08R95	2.0909
121	I09R1	4.0909
122	I09R2	3.1364
123	I09R3	2.1818
124	I09R4	3.8636
125	I09R5	2.6818
126	I09R6	1.5
127	I09R7	3.9545
128	I09R8	2.8182
129	I09R9	1.4091
130	I09R90	3.5455
131	I09R91	2.6364
132	I09R92	2.3636
133	I09R93	4.5
134	I09R94	3.5
135	I09R95	2.0909
136	I10R1	3.5909
137	I10R2	2.5455
138	I10R3	2.0455
139	I10R4	3.0455
140	I10R5	1.8636
141	I10R6	1.1364
142	I10R7	3.1818
143	I10R8	2.0455
144	I10R9	1.1364
145	I10R90	3.5455
146	I10R91	2.5909
147	I10R92	2.5455
148	I10R93	4.4091
149	I10R94	3.8636
150	I10R95	2.7273
151	I11R1	3.7273
152	I11R2	2.5455
153	I11R3	1.8636
154	I11R4	3.6364
155	I11R5	2.3182
156	I11R6	1.0909
157	I11R7	3.5455
158	I11R8	1.8636
159	I11R9	1.2273
160	I11R90	3.9545
161	I11R91	2.5909
162	I11R92	2.4091
163	I11R93	4.5909
164	I11R94	4.2273
165	I11R95	2.8636
166	I12R1	4.2727
167	I12R2	3.5909
168	I12R3	2.5909
169	I12R4	4.2727
170	I12R5	3.4091
171	I12R6	2.2273
172	I12R7	3.5909
173	I12R8	3.1818
174	I12R9	2.3182
175	I12R90	4.1364
176	I12R91	3.0455
177	I12R92	2.9545
178	I12R93	4.2727
179	I12R94	2.9091
180	I12R95	1.8182
181	I13R1	4.0455
182	I13R2	3.0455
183	I13R3	2.4545
184	I13R4	4.2727
185	I13R5	2.9091
186	I13R6	2.1818
187	I13R7	3.7273
188	I13R8	3.1364
189	I13R9	1.9545
190	I13R90	3.7727
191	I13R91	3.0455
192	I13R92	2.8182
193	I13R93	4.4091
194	I13R94	3.5455
195	I13R95	1.9545
196	I14R1	4.4091
197	I14R2	3.1364
198	I14R3	2.4091
199	I14R4	4.2273
200	I14R5	2.9091
201	I14R6	1.7273
202	I14R7	3.8636
203	I14R8	3.2727
204	I14R9	1.8182
205	I14R90	4.0455
206	I14R91	2.7727
207	I14R92	2.5909
208	I14R93	4.2727
209	I14R94	3.1818
210	I14R95	2.0909
